NIRBRS Crime Category,Frequency All Zip Codes,Frequency % All Zip Codes,Frequency at 75252,Frequency % at 75252,Frequency at 75248,Frequency % at 75248,Frequency at 75246,Frequency % at 75246,Frequency at 75243,Frequency % at 75243,Frequency at 75042,Frequency % at 75042,Frequency at 75216,Frequency % at 75216,Frequency at 75115,Frequency % at 75115,Frequency at 75062,Frequency % at 75062,Frequency at 75212,Frequency % at 75212,Frequency at 75137,Frequency % at 75137,Frequency at 75211,Frequency % at 75211,Frequency at 75229,Frequency % at 75229,Frequency at 75231,Frequency % at 75231,Frequency at 75041,Frequency % at 75041,Frequency at 75206,Frequency % at 75206,Frequency at 75247,Frequency % at 75247,Frequency at 75220,Frequency % at 75220,Frequency at 75149,Frequency % at 75149,Frequency at 75210,Frequency % at 75210,Frequency at 75104,Frequency % at 75104,Frequency at 75001,Frequency % at 75001,Frequency at 75251,Frequency % at 75251,Frequency at 75080,Frequency % at 75080,Frequency at 75204,Frequency % at 75204,Frequency at 75006,Frequency % at 75006,Frequency at 75254,Frequency % at 75254,Frequency at 75218,Frequency % at 75218,Frequency at 75116,Frequency % at 75116,Frequency at 75287,Frequency % at 75287,Frequency at 75234,Frequency % at 75234,Frequency at 75209,Frequency % at 75209,Frequency at 75202,Frequency % at 75202,Frequency at 75141,Frequency % at 75141,Frequency at 75233,Frequency % at 75233,Frequency at 75244,Frequency % at 75244,Frequency at 75232,Frequency % at 75232,Frequency at 75270,Frequency % at 75270,Frequency at 75228,Frequency % at 75228,Frequency at 75227,Frequency % at 75227,Frequency at 75240,Frequency % at 75240,Frequency at 75019,Frequency % at 75019,Frequency at 75208,Frequency % at 75208,Frequency at 75201,Frequency % at 75201,Frequency at 75052,Frequency % at 75052,Frequency at 75214,Frequency % at 75214,Frequency at 75219,Frequency % at 75219,Frequency at 75217,Frequency % at 75217,Frequency at 75225,Frequency % at 75225,Frequency at 75238,Frequency % at 75238,Frequency at 75051,Frequency % at 75051,Frequency at 75063,Frequency % at 75063,Frequency at 75007,Frequency % at 75007,Frequency at 75226,Frequency % at 75226,Frequency at 75203,Frequency % at 75203,Frequency at 75134,Frequency % at 75134,Frequency at 75236,Frequency % at 75236,Frequency at 75224,Frequency % at 75224,Frequency at 75207,Frequency % at 75207,Frequency at 75205,Frequency % at 75205,Frequency at 75230,Frequency % at 75230,Frequency at 75253,Frequency % at 75253,Frequency at 75235,Frequency % at 75235,Frequency at 75159,Frequency % at 75159,Frequency at 75081,Frequency % at 75081,Frequency at 75249,Frequency % at 75249,Frequency at 75241,Frequency % at 75241,Frequency at 75215,Frequency % at 75215,Frequency at 75237,Frequency % at 75237,Frequency at 75223,Frequency % at 75223
ANIMAL OFFENSES,97,0.13,2,0.32,2,0.2,0,0,7,0.21,0,0,10,0.34,0,0,0,0,1,0.07,0,0,4,0.14,0,0,6,0.21,0,0,1,0.04,0,0,1,0.03,0,0,3,0.38,0,0,0,0,1,0.27,0,0,2,0.06,0,0,0,0,0,0,0,0,2,0.11,0,0,0,0,0,0,0,0,0,0,0,0,2,0.14,0,0,5,0.15,8,0.37,1,0.05,0,0,1,0.05,1,0.04,0,0,1,0.08,1,0.06,4,0.14,0,0,2,0.14,0,0,0,0,0,0,2,0.15,1,0.09,0,0,2,0.28,1,0.06,2,0.16,0,0,0,0,3,0.53,2,0.11,0,0,0,0,1,0.4,4,0.18,6,0.27,5,0.27,0,0
ARSON,220,0.3,0,0,2,0.2,0,0,3,0.09,0,0,20,0.67,0,0,0,0,7,0.47,0,0,17,0.58,8,0.45,1,0.03,0,0,4,0.17,3,0.25,4,0.12,0,0,4,0.51,0,0,0,0,0,0,0,0,7,0.21,0,0,0,0,2,0.21,0,0,4,0.21,0,0,0,0,1,0.09,0,0,6,0.96,1,0.41,6,0.41,0,0,5,0.15,8,0.37,4,0.22,0,0,6,0.32,3,0.13,0,0,2,0.15,7,0.39,17,0.59,0,0,2,0.14,0,0,0,0,0,0,0,0,7,0.61,0,0,4,0.56,6,0.37,3,0.25,0,0,1,0.08,1,0.18,7,0.37,0,0,0,0,0,0,10,0.45,22,0.98,5,0.27,0,0
ASSAULT OFFENSES,7605,10.23,58,9.18,73,7.18,39,19.9,450,13.4,0,0,523,17.65,0,0,0,0,181,12.12,0,0,246,8.43,169,9.43,212,7.34,0,0,148,6.18,103,8.56,355,10.25,6,26.09,153,19.54,0,0,1,5.56,30,8,0,0,231,6.86,0,0,78,7.52,80,8.41,0,0,187,10.04,38,11.69,47,6.98,115,10,2,40,50,8,15,6.2,193,13.07,3,25,374,10.88,267,12.36,156,8.42,9,18,150,7.89,186,8.27,0,0,95,7.15,154,8.67,392,13.52,24,5.1,111,7.9,3,10,0,0,1,14.29,151,11.21,136,11.83,0,0,76,10.66,234,14.52,67,5.49,15,3.49,86,7.27,74,13.17,134,7.1,1,12.5,1,9.09,18,7.29,244,11.02,351,15.59,217,11.51,92,12.19
BRIBERY,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BURGLARY/ BREAKING & ENTERING,6652,8.95,63,9.97,102,10.03,13,6.63,323,9.62,1,20,351,11.84,0,0,0,0,115,7.7,0,0,195,6.68,186,10.37,202,6.99,0,0,268,11.19,78,6.48,274,7.91,0,0,62,7.92,0,0,3,16.67,39,10.4,0,0,266,7.9,1,25,95,9.16,133,13.99,0,0,173,9.29,25,7.69,59,8.77,39,3.39,0,0,58,9.28,28,11.57,78,5.28,0,0,328,9.54,256,11.85,172,9.28,4,8,215,11.3,140,6.22,0,0,153,11.52,162,9.12,323,11.14,26,5.52,174,12.38,4,13.33,2,33.33,0,0,75,5.57,126,10.96,0,0,70,9.82,130,8.06,77,6.31,56,13.02,124,10.48,56,9.96,196,10.38,0,0,1,9.09,13,5.26,124,5.6,176,7.82,166,8.81,73,9.67
COUNTERFEITING / FORGERY,303,0.41,3,0.47,6,0.59,5,2.55,11,0.33,0,0,7,0.24,0,0,0,0,6,0.4,0,0,14,0.48,6,0.33,20,0.69,0,0,9,0.38,8,0.67,17,0.49,0,0,0,0,0,0,0,0,4,1.07,0,0,11,0.33,0,0,8,0.77,5,0.53,0,0,8,0.43,4,1.23,4,0.59,4,0.35,0,0,1,0.16,2,0.83,12,0.81,0,0,9,0.26,5,0.23,6,0.32,0,0,5,0.26,9,0.4,0,0,0,0,7,0.39,7,0.24,10,2.12,6,0.43,0,0,0,0,0,0,2,0.15,6,0.52,0,0,2,0.28,8,0.5,4,0.33,0,0,10,0.85,2,0.36,5,0.26,0,0,0,0,0,0,4,0.18,10,0.44,8,0.42,3,0.4
DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,8974,12.07,73,11.55,115,11.31,24,12.24,532,15.84,0,0,422,14.24,0,0,0,0,160,10.72,0,0,350,11.99,197,10.99,314,10.87,0,0,204,8.52,100,8.31,381,11.01,0,0,118,15.07,0,0,0,0,46,12.27,1,6.67,301,8.93,1,25,151,14.56,92,9.67,0,0,282,15.14,27,8.31,56,8.32,107,9.3,0,0,77,12.32,17,7.02,210,14.22,0,0,477,13.87,365,16.89,223,12.03,4,8,175,9.2,237,10.53,0,0,132,9.94,219,12.33,425,14.66,32,6.79,213,15.16,6,20,0,0,1,14.29,160,11.88,130,11.3,0,0,108,15.15,217,13.46,118,9.66,22,5.12,112,9.47,80,14.23,184,9.75,4,50,0,0,46,18.62,272,12.28,288,12.79,284,15.07,82,10.86
DRUG/ NARCOTIC VIOLATIONS,4937,6.64,27,4.27,18,1.77,17,8.67,226,6.73,1,20,397,13.39,2,50,1,50,145,9.71,1,100,219,7.5,160,8.92,79,2.74,1,33.33,58,2.42,76,6.32,308,8.9,6,26.09,104,13.28,0,0,0,0,16,4.27,0,0,103,3.06,0,0,31,2.99,36,3.79,1,100,53,2.84,15,4.62,14,2.08,64,5.57,0,0,34,5.44,7,2.89,97,6.57,0,0,260,7.56,126,5.83,83,4.48,0,0,129,6.78,57,2.53,0,0,55,4.14,40,2.25,298,10.28,8,1.7,67,4.77,3,10,0,0,2,28.57,80,5.94,100,8.7,1,33.33,26,3.65,97,6.02,63,5.16,5,1.16,24,2.03,31,5.52,123,6.51,2,25,1,9.09,6,2.43,190,8.58,499,22.16,181,9.6,63,8.34
EMBEZZELMENT,332,0.45,7,1.11,4,0.39,1,0.51,11,0.33,0,0,15,0.51,0,0,0,0,4,0.27,0,0,22,0.75,10,0.56,19,0.66,0,0,8,0.33,10,0.83,19,0.55,0,0,3,0.38,0,0,0,0,0,0,0,0,10,0.3,0,0,2,0.19,4,0.42,0,0,10,0.54,0,0,5,0.74,4,0.35,0,0,3,0.48,2,0.83,2,0.14,0,0,16,0.47,10,0.46,7,0.38,0,0,11,0.58,11,0.49,0,0,2,0.15,4,0.23,6,0.21,2,0.42,2,0.14,0,0,0,0,0,0,3,0.22,2,0.17,0,0,2,0.28,8,0.5,5,0.41,2,0.47,4,0.34,0,0,10,0.53,0,0,0,0,0,0,24,1.08,9,0.4,14,0.74,3,0.4
EXTORTION/ BLACKMAIL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0
