Month,NIRBRS Crime,NIRBRS Crime Category,Frequency All Neighborhoods,Frequency % All Neighborhoods,Frequency at 75252,Frequency % at 75252,Frequency at 75248,Frequency % at 75248,Frequency at 75246,Frequency % at 75246,Frequency at 75243,Frequency % at 75243,Frequency at 75042,Frequency % at 75042,Frequency at 75216,Frequency % at 75216,Frequency at 75115,Frequency % at 75115,Frequency at 75062,Frequency % at 75062,Frequency at 75212,Frequency % at 75212,Frequency at 75137,Frequency % at 75137,Frequency at 75211,Frequency % at 75211,Frequency at 75229,Frequency % at 75229,Frequency at 75231,Frequency % at 75231,Frequency at 75041,Frequency % at 75041,Frequency at 75206,Frequency % at 75206,Frequency at 75247,Frequency % at 75247,Frequency at 75220,Frequency % at 75220,Frequency at 75149,Frequency % at 75149,Frequency at 75210,Frequency % at 75210,Frequency at 75104,Frequency % at 75104,Frequency at 75001,Frequency % at 75001,Frequency at 75251,Frequency % at 75251,Frequency at 75080,Frequency % at 75080,Frequency at 75204,Frequency % at 75204,Frequency at 75006,Frequency % at 75006,Frequency at 75254,Frequency % at 75254,Frequency at 75218,Frequency % at 75218,Frequency at 75116,Frequency % at 75116,Frequency at 75287,Frequency % at 75287,Frequency at 75234,Frequency % at 75234,Frequency at 75209,Frequency % at 75209,Frequency at 75202,Frequency % at 75202,Frequency at 75141,Frequency % at 75141,Frequency at 75233,Frequency % at 75233,Frequency at 75244,Frequency % at 75244,Frequency at 75232,Frequency % at 75232,Frequency at 75270,Frequency % at 75270,Frequency at 75228,Frequency % at 75228,Frequency at 75227,Frequency % at 75227,Frequency at 75240,Frequency % at 75240,Frequency at 75019,Frequency % at 75019,Frequency at 75208,Frequency % at 75208,Frequency at 75201,Frequency % at 75201,Frequency at 75052,Frequency % at 75052,Frequency at 75214,Frequency % at 75214,Frequency at 75219,Frequency % at 75219,Frequency at 75217,Frequency % at 75217,Frequency at 75225,Frequency % at 75225,Frequency at 75238,Frequency % at 75238,Frequency at 75051,Frequency % at 75051,Frequency at 75063,Frequency % at 75063,Frequency at 75007,Frequency % at 75007,Frequency at 75226,Frequency % at 75226,Frequency at 75203,Frequency % at 75203,Frequency at 75134,Frequency % at 75134,Frequency at 75236,Frequency % at 75236,Frequency at 75224,Frequency % at 75224,Frequency at 75207,Frequency % at 75207,Frequency at 75205,Frequency % at 75205,Frequency at 75230,Frequency % at 75230,Frequency at 75253,Frequency % at 75253,Frequency at 75235,Frequency % at 75235,Frequency at 75159,Frequency % at 75159,Frequency at 75081,Frequency % at 75081,Frequency at 75249,Frequency % at 75249,Frequency at 75241,Frequency % at 75241,Frequency at 75215,Frequency % at 75215,Frequency at 75237,Frequency % at 75237,Frequency at 75223,Frequency % at 75223
1,ANIMAL OFFENSES,EMBEZZELMENT,32,0.04,0,0,0,0,0,0,0,0,0,0,3,0.1,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0.27,0,0,1,0.03,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0.07,,,0,0,2,0.09,0,0,0,0,0,0,0,0,,,1,0.08,0,0,1,0.03,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0
1,ANIMAL OFFENSES,FRAUD OFFENSES,121,0.16,0,0,0,0,0,0,0,0,0,0,3,0.1,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0.27,0,0,1,0.03,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0.07,,,0,0,2,0.09,0,0,0,0,0,0,0,0,,,1,0.08,0,0,1,0.03,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0
1,ANIMAL OFFENSES,ASSAULT OFFENSES,590,0.79,0,0,0,0,0,0,0,0,0,0,3,0.1,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0.27,0,0,1,0.03,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0.07,,,0,0,2,0.09,0,0,0,0,0,0,0,0,,,1,0.08,0,0,1,0.03,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0
1,ANIMAL OFFENSES,DRUG/ NARCOTIC VIOLATIONS,463,0.62,0,0,0,0,0,0,0,0,0,0,3,0.1,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0.27,0,0,1,0.03,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0.07,,,0,0,2,0.09,0,0,0,0,0,0,0,0,,,1,0.08,0,0,1,0.03,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0
1,ANIMAL OFFENSES,KIDNAPPING/ ABDUCTION,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0.27,0,0,1,0.03,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0.07,,,0,0,2,0.09,0,0,0,0,0,0,0,0,,,1,0.08,0,0,1,0.03,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0
1,ANIMAL OFFENSES,LARCENY/ THEFT OFFENSES,2215,2.98,0,0,0,0,0,0,0,0,0,0,3,0.1,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0.27,0,0,1,0.03,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0.07,,,0,0,2,0.09,0,0,0,0,0,0,0,0,,,1,0.08,0,0,1,0.03,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0
1,ANIMAL OFFENSES,EXTORTION/ BLACKMAIL,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0.27,0,0,1,0.03,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0.07,,,0,0,2,0.09,0,0,0,0,0,0,0,0,,,1,0.08,0,0,1,0.03,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0
1,ANIMAL OFFENSES,HUMAN TRAFFICKING,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0.27,0,0,1,0.03,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0.07,,,0,0,2,0.09,0,0,0,0,0,0,0,0,,,1,0.08,0,0,1,0.03,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0
1,ANIMAL OFFENSES,HOMICIDE OFFENSES,11,0.01,0,0,0,0,0,0,0,0,0,0,3,0.1,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0.27,0,0,1,0.03,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0.07,,,0,0,2,0.09,0,0,0,0,0,0,0,0,,,1,0.08,0,0,1,0.03,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0
1,ANIMAL OFFENSES,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,775,1.04,0,0,0,0,0,0,0,0,0,0,3,0.1,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0.27,0,0,1,0.03,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0.07,,,0,0,2,0.09,0,0,0,0,0,0,0,0,,,1,0.08,0,0,1,0.03,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0
