NIRBRS Crime,Frequency All Zip Codes,Frequency % All Zip Codes,Frequency at 75252,Frequency % at 75252,Frequency at 75248,Frequency % at 75248,Frequency at 75246,Frequency % at 75246,Frequency at 75243,Frequency % at 75243,Frequency at 75042,Frequency % at 75042,Frequency at 75216,Frequency % at 75216,Frequency at 75115,Frequency % at 75115,Frequency at 75062,Frequency % at 75062,Frequency at 75212,Frequency % at 75212,Frequency at 75137,Frequency % at 75137,Frequency at 75211,Frequency % at 75211,Frequency at 75229,Frequency % at 75229,Frequency at 75231,Frequency % at 75231,Frequency at 75041,Frequency % at 75041,Frequency at 75206,Frequency % at 75206,Frequency at 75247,Frequency % at 75247,Frequency at 75220,Frequency % at 75220,Frequency at 75149,Frequency % at 75149,Frequency at 75210,Frequency % at 75210,Frequency at 75104,Frequency % at 75104,Frequency at 75001,Frequency % at 75001,Frequency at 75251,Frequency % at 75251,Frequency at 75080,Frequency % at 75080,Frequency at 75204,Frequency % at 75204,Frequency at 75006,Frequency % at 75006,Frequency at 75254,Frequency % at 75254,Frequency at 75218,Frequency % at 75218,Frequency at 75116,Frequency % at 75116,Frequency at 75287,Frequency % at 75287,Frequency at 75234,Frequency % at 75234,Frequency at 75209,Frequency % at 75209,Frequency at 75202,Frequency % at 75202,Frequency at 75141,Frequency % at 75141,Frequency at 75233,Frequency % at 75233,Frequency at 75244,Frequency % at 75244,Frequency at 75232,Frequency % at 75232,Frequency at 75270,Frequency % at 75270,Frequency at 75228,Frequency % at 75228,Frequency at 75227,Frequency % at 75227,Frequency at 75240,Frequency % at 75240,Frequency at 75019,Frequency % at 75019,Frequency at 75208,Frequency % at 75208,Frequency at 75201,Frequency % at 75201,Frequency at 75052,Frequency % at 75052,Frequency at 75214,Frequency % at 75214,Frequency at 75219,Frequency % at 75219,Frequency at 75217,Frequency % at 75217,Frequency at 75225,Frequency % at 75225,Frequency at 75238,Frequency % at 75238,Frequency at 75051,Frequency % at 75051,Frequency at 75063,Frequency % at 75063,Frequency at 75007,Frequency % at 75007,Frequency at 75226,Frequency % at 75226,Frequency at 75203,Frequency % at 75203,Frequency at 75134,Frequency % at 75134,Frequency at 75236,Frequency % at 75236,Frequency at 75224,Frequency % at 75224,Frequency at 75207,Frequency % at 75207,Frequency at 75205,Frequency % at 75205,Frequency at 75230,Frequency % at 75230,Frequency at 75253,Frequency % at 75253,Frequency at 75235,Frequency % at 75235,Frequency at 75159,Frequency % at 75159,Frequency at 75081,Frequency % at 75081,Frequency at 75249,Frequency % at 75249,Frequency at 75241,Frequency % at 75241,Frequency at 75215,Frequency % at 75215,Frequency at 75237,Frequency % at 75237,Frequency at 75223,Frequency % at 75223
AGG ASSAULT - NFV,2850,3.83,21,3.32,15,1.47,13,6.63,152,4.53,0,0,220,7.42,0,0,0,0,69,4.62,0,0,107,3.67,70,3.9,73,2.53,0,0,34,1.42,35,2.91,148,4.27,2,8.7,55,7.02,0,0,0,0,11,2.93,0,0,84,2.49,0,0,24,2.31,26,2.73,0,0,67,3.6,15,4.62,10,1.49,33,2.87,1,20,19,3.04,4,1.65,84,5.69,1,8.33,163,4.74,114,5.28,50,2.7,0,0,55,2.89,63,2.8,0,0,29,2.18,37,2.08,151,5.21,10,2.12,41,2.92,2,6.67,0,0,1,14.29,47,3.49,52,4.52,0,0,35,4.91,99,6.14,28,2.29,2,0.47,26,2.2,26,4.63,50,2.65,1,12.5,1,9.09,9,3.64,91,4.11,144,6.39,83,4.4,47,6.23
ALL OTHER LARCENY,6706,9.02,71,11.23,109,10.72,21,10.71,281,8.37,1,20,260,8.77,0,0,0,0,208,13.93,0,0,241,8.26,160,8.92,193,6.68,0,0,261,10.9,74,6.15,188,5.43,2,8.7,79,10.09,1,50,2,11.11,22,5.87,11,73.33,370,10.98,0,0,86,8.29,111,11.67,0,0,167,8.96,25,7.69,78,11.59,101,8.78,1,20,51,8.16,37,15.29,152,10.29,3,25,293,8.52,197,9.12,134,7.23,10,20,195,10.25,200,8.89,0,0,152,11.45,163,9.18,220,7.59,45,9.55,117,8.33,4,13.33,1,16.67,1,14.29,98,7.28,126,10.96,0,0,71,9.96,136,8.44,89,7.29,55,12.79,100,8.45,53,9.43,179,9.48,0,0,2,18.18,16,6.48,242,10.93,220,9.77,146,7.75,74,9.8
ANIMAL CRUELTY,97,0.13,2,0.32,2,0.2,0,0,7,0.21,0,0,10,0.34,0,0,0,0,1,0.07,0,0,4,0.14,0,0,6,0.21,0,0,1,0.04,0,0,1,0.03,0,0,3,0.38,0,0,0,0,1,0.27,0,0,2,0.06,0,0,0,0,0,0,0,0,2,0.11,0,0,0,0,0,0,0,0,0,0,0,0,2,0.14,0,0,5,0.15,8,0.37,1,0.05,0,0,1,0.05,1,0.04,0,0,1,0.08,1,0.06,4,0.14,0,0,2,0.14,0,0,0,0,0,0,2,0.15,1,0.09,0,0,2,0.28,1,0.06,2,0.16,0,0,0,0,3,0.53,2,0.11,0,0,0,0,1,0.4,4,0.18,6,0.27,5,0.27,0,0
ARSON,220,0.3,0,0,2,0.2,0,0,3,0.09,0,0,20,0.67,0,0,0,0,7,0.47,0,0,17,0.58,8,0.45,1,0.03,0,0,4,0.17,3,0.25,4,0.12,0,0,4,0.51,0,0,0,0,0,0,0,0,7,0.21,0,0,0,0,2,0.21,0,0,4,0.21,0,0,0,0,1,0.09,0,0,6,0.96,1,0.41,6,0.41,0,0,5,0.15,8,0.37,4,0.22,0,0,6,0.32,3,0.13,0,0,2,0.15,7,0.39,17,0.59,0,0,2,0.14,0,0,0,0,0,0,0,0,7,0.61,0,0,4,0.56,6,0.37,3,0.25,0,0,1,0.08,1,0.18,7,0.37,0,0,0,0,0,0,10,0.45,22,0.98,5,0.27,0,0
BETTING/ WAGERING,42,0.06,0,0,0,0,0,0,2,0.06,0,0,1,0.03,0,0,0,0,1,0.07,0,0,2,0.07,2,0.11,0,0,0,0,0,0,0,0,3,0.09,0,0,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.32,0,0,3,0.2,0,0,9,0.26,2,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,0,0,2,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08,1,0.18,0,0,0,0,0,0,0,0,0,0,0,0,4,0.21,3,0.4
BRIBERY,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BURGLARY-BUSINESS,3772,5.07,31,4.91,53,5.21,7,3.57,160,4.76,1,20,162,5.47,0,0,0,0,68,4.55,0,0,111,3.8,140,7.81,95,3.29,0,0,145,6.05,73,6.07,192,5.55,0,0,29,3.7,0,0,0,0,21,5.6,0,0,108,3.21,1,25,41,3.95,83,8.73,0,0,58,3.11,23,7.08,37,5.5,18,1.57,0,0,28,4.48,18,7.44,43,2.91,0,0,171,4.97,156,7.22,112,6.04,1,2,167,8.78,74,3.29,0,0,71,5.35,75,4.22,213,7.34,15,3.18,85,6.05,3,10,0,0,0,0,55,4.08,72,6.26,0,0,40,5.61,70,4.34,49,4.01,33,7.67,89,7.52,28,4.98,127,6.73,0,0,0,0,6,2.43,57,2.57,104,4.62,108,5.73,45,5.96
BURGLARY-RESIDENCE,2880,3.87,32,5.06,49,4.82,6,3.06,163,4.85,0,0,189,6.38,0,0,0,0,47,3.15,0,0,84,2.88,46,2.57,107,3.7,0,0,123,5.14,5,0.42,82,2.37,0,0,33,4.21,0,0,3,16.67,18,4.8,0,0,158,4.69,0,0,54,5.21,50,5.26,0,0,115,6.17,2,0.62,22,3.27,21,1.83,0,0,30,4.8,10,4.13,35,2.37,0,0,157,4.57,100,4.63,60,3.24,3,6,48,2.52,66,2.93,0,0,82,6.17,87,4.9,110,3.79,11,2.34,89,6.33,1,3.33,2,33.33,0,0,20,1.48,54,4.7,0,0,30,4.21,60,3.72,28,2.29,23,5.35,35,2.96,28,4.98,69,3.65,0,0,1,9.09,7,2.83,67,3.02,72,3.2,58,3.08,28,3.71
COUNTERFEITING / FORGERY,303,0.41,3,0.47,6,0.59,5,2.55,11,0.33,0,0,7,0.24,0,0,0,0,6,0.4,0,0,14,0.48,6,0.33,20,0.69,0,0,9,0.38,8,0.67,17,0.49,0,0,0,0,0,0,0,0,4,1.07,0,0,11,0.33,0,0,8,0.77,5,0.53,0,0,8,0.43,4,1.23,4,0.59,4,0.35,0,0,1,0.16,2,0.83,12,0.81,0,0,9,0.26,5,0.23,6,0.32,0,0,5,0.26,9,0.4,0,0,0,0,7,0.39,7,0.24,10,2.12,6,0.43,0,0,0,0,0,0,2,0.15,6,0.52,0,0,2,0.28,8,0.5,4,0.33,0,0,10,0.85,2,0.36,5,0.26,0,0,0,0,0,0,4,0.18,10,0.44,8,0.42,3,0.4
CREDIT CARD/ ATM FRAUD,241,0.32,10,1.58,7,0.69,0,0,9,0.27,0,0,7,0.24,0,0,0,0,7,0.47,0,0,7,0.24,6,0.33,10,0.35,0,0,8,0.33,3,0.25,15,0.43,0,0,3,0.38,0,0,0,0,3,0.8,0,0,7,0.21,0,0,7,0.68,2,0.21,0,0,13,0.7,0,0,1,0.15,4,0.35,0,0,2,0.32,2,0.83,3,0.2,0,0,4,0.12,2,0.09,6,0.32,0,0,5,0.26,10,0.44,0,0,6,0.45,6,0.34,7,0.24,1,0.21,4,0.28,0,0,0,0,0,0,4,0.3,2,0.17,0,0,0,0,6,0.37,4,0.33,1,0.23,4,0.34,1,0.18,8,0.42,0,0,0,0,2,0.81,11,0.5,4,0.18,6,0.32,1,0.13
