Month,NIRBRS Crime,Frequency All Neighborhoods,Frequency % All Neighborhoods,Frequency at 75252,Frequency % at 75252,Frequency at 75248,Frequency % at 75248,Frequency at 75246,Frequency % at 75246,Frequency at 75243,Frequency % at 75243,Frequency at 75042,Frequency % at 75042,Frequency at 75216,Frequency % at 75216,Frequency at 75115,Frequency % at 75115,Frequency at 75062,Frequency % at 75062,Frequency at 75212,Frequency % at 75212,Frequency at 75137,Frequency % at 75137,Frequency at 75211,Frequency % at 75211,Frequency at 75229,Frequency % at 75229,Frequency at 75231,Frequency % at 75231,Frequency at 75041,Frequency % at 75041,Frequency at 75206,Frequency % at 75206,Frequency at 75247,Frequency % at 75247,Frequency at 75220,Frequency % at 75220,Frequency at 75149,Frequency % at 75149,Frequency at 75210,Frequency % at 75210,Frequency at 75104,Frequency % at 75104,Frequency at 75001,Frequency % at 75001,Frequency at 75251,Frequency % at 75251,Frequency at 75080,Frequency % at 75080,Frequency at 75204,Frequency % at 75204,Frequency at 75006,Frequency % at 75006,Frequency at 75254,Frequency % at 75254,Frequency at 75218,Frequency % at 75218,Frequency at 75116,Frequency % at 75116,Frequency at 75287,Frequency % at 75287,Frequency at 75234,Frequency % at 75234,Frequency at 75209,Frequency % at 75209,Frequency at 75202,Frequency % at 75202,Frequency at 75141,Frequency % at 75141,Frequency at 75233,Frequency % at 75233,Frequency at 75244,Frequency % at 75244,Frequency at 75232,Frequency % at 75232,Frequency at 75270,Frequency % at 75270,Frequency at 75228,Frequency % at 75228,Frequency at 75227,Frequency % at 75227,Frequency at 75240,Frequency % at 75240,Frequency at 75019,Frequency % at 75019,Frequency at 75208,Frequency % at 75208,Frequency at 75201,Frequency % at 75201,Frequency at 75052,Frequency % at 75052,Frequency at 75214,Frequency % at 75214,Frequency at 75219,Frequency % at 75219,Frequency at 75217,Frequency % at 75217,Frequency at 75225,Frequency % at 75225,Frequency at 75238,Frequency % at 75238,Frequency at 75051,Frequency % at 75051,Frequency at 75063,Frequency % at 75063,Frequency at 75007,Frequency % at 75007,Frequency at 75226,Frequency % at 75226,Frequency at 75203,Frequency % at 75203,Frequency at 75134,Frequency % at 75134,Frequency at 75236,Frequency % at 75236,Frequency at 75224,Frequency % at 75224,Frequency at 75207,Frequency % at 75207,Frequency at 75205,Frequency % at 75205,Frequency at 75230,Frequency % at 75230,Frequency at 75253,Frequency % at 75253,Frequency at 75235,Frequency % at 75235,Frequency at 75159,Frequency % at 75159,Frequency at 75081,Frequency % at 75081,Frequency at 75249,Frequency % at 75249,Frequency at 75241,Frequency % at 75241,Frequency at 75215,Frequency % at 75215,Frequency at 75237,Frequency % at 75237,Frequency at 75223,Frequency % at 75223
1,AGG ASSAULT - NFV,225,0.3,2,0.32,2,0.2,0,0,8,0.24,0,0,15,0.51,,,,,7,0.47,0,0,7,0.24,7,0.39,6,0.21,,,3,0.13,2,0.17,11,0.32,1,4.35,4,0.51,,,0,0,0,0,0,0,7,0.21,0,0,2,0.19,3,0.32,,,6,0.32,2,0.62,1,0.15,3,0.26,,,2,0.32,0,0,6,0.41,,,19,0.55,10,0.46,5,0.27,0,0,3,0.16,4,0.18,,,2,0.15,2,0.11,7,0.24,1,0.21,6,0.43,0,0,,,,,2,0.15,5,0.43,,,5,0.7,4,0.25,0,0,0,0,3,0.25,0,0,6,0.32,1,12.5,0,0,0,0,7,0.32,17,0.75,6,0.32,3,0.4
1,ALL OTHER LARCENY,564,0.76,5,0.79,9,0.88,3,1.53,20,0.6,0,0,17,0.57,,,,,17,1.14,0,0,24,0.82,20,1.12,16,0.55,,,23,0.96,8,0.67,12,0.35,0,0,5,0.64,,,0,0,1,0.27,0,0,29,0.86,0,0,6,0.58,13,1.37,,,17,0.91,2,0.62,1,0.15,8,0.7,,,4,0.64,6,2.48,18,1.22,,,33,0.96,12,0.56,15,0.81,0,0,14,0.74,22,0.98,,,13,0.98,8,0.45,11,0.38,3,0.64,13,0.93,0,0,,,,,6,0.45,11,0.96,,,4,0.56,18,1.12,7,0.57,5,1.16,11,0.93,3,0.53,14,0.74,0,0,1,9.09,0,0,18,0.81,20,0.89,9,0.48,9,1.19
1,ANIMAL CRUELTY,12,0.02,0,0,0,0,0,0,0,0,0,0,3,0.1,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0.27,0,0,1,0.03,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0.07,,,0,0,2,0.09,0,0,0,0,0,0,0,0,,,1,0.08,0,0,1,0.03,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0
1,ARSON,29,0.04,0,0,0,0,0,0,1,0.03,0,0,5,0.17,,,,,0,0,0,0,2,0.07,2,0.11,0,0,,,0,0,1,0.08,1,0.03,0,0,0,0,,,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,3,0.48,0,0,2,0.14,,,1,0.03,0,0,0,0,0,0,1,0.05,0,0,,,0,0,0,0,1,0.03,0,0,0,0,0,0,,,,,0,0,0,0,,,2,0.28,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,1,0.05,3,0.13,1,0.05,0,0
1,BETTING/ WAGERING,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0.07,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0
1,BRIBERY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BURGLARY-BUSINESS,371,0.5,6,0.95,6,0.59,0,0,14,0.42,0,0,19,0.64,,,,,6,0.4,0,0,5,0.17,13,0.73,4,0.14,,,16,0.67,9,0.75,19,0.55,0,0,0,0,,,0,0,3,0.8,0,0,5,0.15,0,0,4,0.39,16,1.68,,,3,0.16,1,0.31,3,0.45,0,0,,,2,0.32,2,0.83,4,0.27,,,12,0.35,11,0.51,10,0.54,0,0,16,0.84,3,0.13,,,7,0.53,7,0.39,30,1.03,4,0.85,3,0.21,1,3.33,,,,,11,0.82,6,0.52,,,5,0.7,4,0.25,4,0.33,2,0.47,15,1.27,1,0.18,18,0.95,0,0,0,0,0,0,8,0.36,10,0.44,19,1.01,4,0.53
1,BURGLARY-RESIDENCE,212,0.29,2,0.32,5,0.49,0,0,12,0.36,0,0,13,0.44,,,,,4,0.27,0,0,6,0.21,8,0.45,7,0.24,,,11,0.46,0,0,11,0.32,0,0,7,0.89,,,0,0,2,0.53,0,0,18,0.53,0,0,4,0.39,1,0.11,,,7,0.38,0,0,1,0.15,2,0.17,,,1,0.16,1,0.41,3,0.2,,,6,0.17,7,0.32,6,0.32,0,0,3,0.16,1,0.04,,,3,0.23,14,0.79,8,0.28,1,0.21,1,0.07,0,0,,,,,0,0,2,0.17,,,2,0.28,1,0.06,1,0.08,6,1.4,3,0.25,2,0.36,6,0.32,0,0,0,0,1,0.4,6,0.27,5,0.22,1,0.05,0,0
1,COUNTERFEITING / FORGERY,30,0.04,0,0,0,0,0,0,5,0.15,0,0,1,0.03,,,,,0,0,0,0,1,0.03,0,0,3,0.1,,,2,0.08,0,0,3,0.09,0,0,0,0,,,0,0,1,0.27,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0.15,0,0,,,0,0,1,0.41,2,0.14,,,1,0.03,0,0,2,0.11,0,0,0,0,3,0.13,,,0,0,0,0,1,0.03,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,1,0.06,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0
1,CREDIT CARD/ ATM FRAUD,19,0.03,0,0,1,0.1,0,0,1,0.03,0,0,0,0,,,,,0,0,0,0,0,0,0,0,2,0.07,,,3,0.13,0,0,2,0.06,0,0,0,0,,,0,0,2,0.53,0,0,1,0.03,0,0,0,0,0,0,,,2,0.11,0,0,0,0,0,0,,,0,0,0,0,1,0.07,,,0,0,0,0,0,0,0,0,0,0,1,0.04,,,1,0.08,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,1,0.06,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
